,doc_url,name,bulletin,topic,commission
398_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-46-22338.pdf,Iniciativa Popular Constituyente sobre derecho a emprender y desarrollar libremente cualquier actividad económica (22338),Boletín 46-4 Popular,Derecho a emprender,Comisión de Derechos Fundamentales
400_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-44-18394.pdf,Iniciativa Popular Constituyente de derecho de emprendimiento (18394),Boletín 44-4 Popular,Derecho emprendimiento,Comisión de Derechos Fundamentales
393_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-51-45658.pdf,"Iniciativa Popular Constituyente que establece deber colectivo de protección del medio ambiente, los derechos humanos ambientales, los derechos de la naturaleza y las vidas (45658)",Boletín 51-2 Popular,Protección Medio Ambiente,Comisión sobre Principios Constitucionales 
395_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-49-41318.pdf,Iniciativa Popular Constituyente sobre bienestar animal y responsabilidad en su tenencia (41318),Boletín 49-5 Popular,Bienestar animal y tenencia responsable,Comisión sobre Medio Ambiente
397_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-47-36618.pdf,Iniciativa Popular Constituyente que establece universidades estatales en cada región del país (36618),Boletín 47-3 Popular,Universidades estatales regionales,Comisión sobre Forma de Estado
399_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-45-33622.pdf,Iniciativa Popular Constituyente sobre tratados internacionales de libre comercio y sus límites (33622),Boletín 45-5 Popular,Tratados libre comercio,Comisión sobre Medio Ambiente
402_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-42-6470.pdf,Iniciativa Popular Constituyente sobre reconocimiento de derechos a personas con discapacidad (6470),Boletín 42-4 Popular,Derechos personas con discapacidad,Comisión de Derechos Fundamentales
404_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-40-10218.pdf,Iniciativa Popular Constituyente sobre reconocimiento de comunidades y diversas formas de familia (10218),Boletín 40-2 Popular,Familia,Comisión sobre Principios Constitucionales
406_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-38-7062-derecho-a-la-salud.pdf,"Iniciativa Popular Constituyente que consagra la salud como un derecho social, comunitario y humano inalienable, en sus dimensiones, física, mental y espiritual (7062)",Boletín 38-4 Popular,Salud como derecho humano,Comisión de Derechos Fundamentales
408_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-36-5542-reconocimiento-constitucional-de-las-tradiciones.pdf,"Iniciativa Popular Constituyente sobre reconocimiento y fomento de las actividades tradicionales del país en los ámbitos cultural, gastronómico, deportivo y recreativo (5542)",Boletín 36-7 Popular,Reconocimiento actividades tradicionales,Comisión sobre Sistemas de Conocimientos
410_pop_pop,https://www.chileconvencion.cl/wp-content/uploads/2022/02/Iniciativa-Popular-34-41694-regulacion-de-las-FFAA-y-de-Orden.pdf,Iniciativa Popular Constituyente sobre regulación de las Fuerzas Armadas y de Orden (41694),Boletín 34-1 Popular,Fuerzas Armadas y de Orden,Comisión sobre Sistema Político
